Time,O2
1169,6.44
1170,6.44
1171,6.44
1172,6.44
1173,6.44
1174,6.45
1175,6.45
1176,6.45
1177,6.45
1178,6.46
1179,6.46
1180,6.46
1181,6.45
1182,6.45
1183,6.45
1184,6.45
1185,6.45
1186,6.45
1187,6.44
1188,6.44
1189,6.44
1190,6.44
1191,6.44
1192,6.44
1193,6.44
1194,6.43
1195,6.43
1196,6.43
1197,6.43
1198,6.43
1199,6.43
1200,6.43
1201,6.42
1202,6.42
1203,6.42
1204,6.42
1205,6.42
1206,6.41
1207,6.44
1208,6.44
1209,6.43
1210,6.43
1211,6.44
1212,6.44
1213,6.44
1214,6.45
1215,6.44
1216,6.45
1217,6.44
1218,6.44
1219,6.43
1220,6.43
1221,6.43
1222,6.42
1223,6.42
1224,6.42
1225,6.42
1226,6.42
1227,6.41
1228,6.42
1229,6.42
1230,6.42
1231,6.42
1232,6.41
1233,6.38
1234,6.38
1235,6.38
1236,6.38
1237,6.39
1238,6.39
1239,6.39
1240,6.39
1241,6.39
1242,6.39
1243,6.39
1244,6.39
1245,6.39
1246,6.4
1247,6.44
1248,6.44
1249,6.43
1250,6.43
1251,6.43
1252,6.42
1253,6.42
1254,6.42
1255,6.42
1256,6.41
1257,6.41
1258,6.4
1259,6.4
1260,6.4
1261,6.4
1262,6.4
1263,6.4
1264,6.42
1265,6.42
1266,6.41
1267,6.41
1268,6.4
1269,6.4
1270,6.4
1271,6.38
1272,6.38
1273,6.37
1274,6.37
1275,6.37
1276,6.37
1277,6.37
1278,6.36
1279,6.37
1280,6.37
1281,6.36
1282,6.36
1283,6.36
1284,6.36
1285,6.36
1286,6.36
1287,6.36
1288,6.37
1289,6.37
1290,6.4
1291,6.4
1292,6.4
1293,6.4
1294,6.39
1295,6.39
1296,6.39
1297,6.38
1298,6.39
1299,6.39
1300,6.39
1301,6.42
1302,6.42
1303,6.42
1304,6.41
1305,6.41
1306,6.41
1307,6.4
1308,6.36
1309,6.36
1310,6.36
1311,6.36
1312,6.36
1313,6.37
1314,6.37
1315,6.37
1316,6.37
1317,6.37
1318,6.37
1319,6.37
1320,6.37
1321,6.37
1322,6.37
1323,6.37
1324,6.37
1325,6.37
1326,6.37
1327,6.37
1328,6.36
1329,6.36
1330,6.36
1331,6.36
1332,6.36
1333,6.35
1334,6.35
1335,6.35
1336,6.35
1337,6.35
1338,6.35
1339,6.35
1340,6.35
1341,6.35
1342,6.35
1343,6.36
1344,6.36
1345,6.36
1346,6.36
1347,6.36
1348,6.37
1349,6.37
1350,6.37
1351,6.37
1352,6.37
1353,6.36
1354,6.35
1355,6.35
1356,6.35
1357,6.35
1358,6.35
1359,6.35
1360,6.35
1361,6.34
1362,6.34
1363,6.34
1364,6.33
1365,6.33
1366,6.33
1367,6.33
1368,6.33
1369,6.33
1370,6.33
1371,6.32
1372,6.32
1373,6.27
1374,6.28
1375,6.27
1376,6.28
1377,6.29
1378,6.29
1379,6.29
1380,6.31
1381,6.31
1382,6.31
1383,6.31
1384,6.31
1385,6.32
1386,6.32
1387,6.32
1388,6.33
1389,6.33
1390,6.32
1391,6.32
1392,6.32
1393,6.32
1394,6.33
1395,6.33
1396,6.33
1397,6.32
1398,6.32
1399,6.32
1400,6.32
1401,6.32
1402,6.32
1403,6.31
1404,6.31
1405,6.31
1406,6.31
1407,6.31
1408,6.31
1409,6.31
1410,6.31
1411,6.31
1412,6.31
1413,6.31
1414,6.3
1415,6.3
1416,6.3
1417,6.3
1418,6.31
1419,6.31
1420,6.31
1421,6.31
1422,6.31
1423,6.3
1424,6.3
1425,6.3
1426,6.3
1427,6.3
1428,6.3
1429,6.3
1430,6.3
1431,6.31
1432,6.31
1433,6.31
1434,6.31
1435,6.31
1436,6.31
1437,6.31
1438,6.31
1439,6.31
1440,6.31
1441,6.31
1442,6.31
1443,6.31
1444,6.31
1445,6.31
1446,6.31
1447,6.31
1448,6.3
1449,6.3
1450,6.3
1451,6.31
1452,6.31
1453,6.31
1454,6.31
1455,6.31
1456,6.31
1457,6.3
1458,6.3
1459,6.3
1460,6.29
1461,6.29
1462,6.29
1463,6.29
1464,6.29
1465,6.29
1466,6.29
1467,6.28
1468,6.28
1469,6.28
1470,6.28
1471,6.28
1472,6.27
1473,6.27
1474,6.27
1475,6.27
1476,6.27
1477,6.27
1478,6.28
1479,6.28
1480,6.27
1481,6.28
1482,6.27
1483,6.27
1484,6.28
1485,6.28
1486,6.28
1487,6.28
1488,6.28
1489,6.28
1490,6.28
1491,6.28
1492,6.28
1493,6.28
1494,6.28
1495,6.27
1496,6.28
1497,6.27
1498,6.27
1499,6.27
1500,6.27
1501,6.27
1502,6.27
1503,6.26
1504,6.26
1505,6.26
1506,6.25
1507,6.24
1508,6.25
1509,6.24
1510,6.24
1511,6.24
1512,6.24
1513,6.24
1514,6.24
1515,6.24
1516,6.24
1517,6.24
1518,6.24
1519,6.24
1520,6.24
1521,6.24
1522,6.24
1523,6.25
1524,6.25
1525,6.25
1526,6.25
1527,6.25
1528,6.26
1529,6.26
1530,6.25
1531,6.25
1532,6.26
1533,6.26
1534,6.26
1535,6.26
1536,6.26
1537,6.26
1538,6.27
1539,6.26
1540,6.26
1541,6.26
1542,6.25
1543,6.25
1544,6.24
1545,6.24
1546,6.24
1547,6.24
1548,6.24
1549,6.24
1550,6.25
1551,6.25
1552,6.25
1553,6.25
1554,6.24
1555,6.24
1556,6.24
1557,6.24
1558,6.24
1559,6.24
1560,6.24
1561,6.24
1562,6.23
1563,6.23
1564,6.23
1565,6.23
1566,6.23
1567,6.23
1568,6.23
1569,6.23
1570,6.24
1571,6.24
1572,6.24
1573,6.24
1574,6.23
1575,6.25
1576,6.24
1577,6.24
1578,6.24
1579,6.24
1580,6.24
1581,6.24
1582,6.24
1583,6.24
1584,6.24
1585,6.24
1586,6.24
1587,6.24
1588,6.24
1589,6.24
1590,6.24
1591,6.24
1592,6.24
1593,6.23
1594,6.24
1595,6.23
1596,6.23
1597,6.23
1598,6.22
1599,6.22
1600,6.22
1601,6.22
1602,6.22
1603,6.22
1604,6.22
1605,6.22
1606,6.22
1607,6.22
1608,6.22
1609,6.22
1610,6.22
1611,6.22
1612,6.22
1613,6.22
1614,6.22
1615,6.22
1616,6.22
1617,6.22
1618,6.22
1619,6.22
1620,6.22
1621,6.22
1622,6.22
1623,6.22
1624,6.22
1625,6.22
1626,6.22
1627,6.23
1628,6.23
1629,6.23
1630,6.23
1631,6.22
1632,6.22
1633,6.23
1634,6.22
1635,6.22
1636,6.22
1637,6.22
1638,6.22
1639,6.19
1640,6.19
1641,6.19
1642,6.19
1643,6.19
1644,6.19
1645,6.19
1646,6.18
1647,6.18
1648,6.18
1649,6.18
1650,6.18
1651,6.18
1652,6.18
1653,6.17
1654,6.17
1655,6.17
1656,6.17
1657,6.17
1658,6.16
1659,6.16
1660,6.17
1661,6.18
1662,6.18
1663,6.18
1664,6.18
1665,6.18
1666,6.18
1667,6.19
1668,6.18
1669,6.18
1670,6.18
1671,6.18
1672,6.17
1673,6.17
1674,6.17
1675,6.16
1676,6.16
1677,6.16
1678,6.17
1679,6.18
1680,6.18
1681,6.18
1682,6.18
1683,6.18
1684,6.18
1685,6.18
1686,6.18
1687,6.19
1688,6.18
1689,6.18
1690,6.18
1691,6.18
1692,6.18
1693,6.18
1694,6.18
1695,6.18
1696,6.18
1697,6.18
1698,6.17
1699,6.17
1700,6.17
1701,6.17
1702,6.16
1703,6.16
1704,6.16
1705,6.16
1706,6.16
1707,6.16
1708,6.16
1709,6.16
1710,6.16
1711,6.15
1712,6.16
1713,6.16
1714,6.15
1715,6.15
1716,6.16
1717,6.16
1718,6.16
1719,6.17
1720,6.16
1721,6.17
1722,6.18
1723,6.17
1724,6.18
1725,6.18
1726,6.16
1727,6.17
1728,6.17
1729,6.17
1730,6.16
1731,6.16
1732,6.15
1733,6.15
1734,6.14
1735,6.14
1736,6.14
1737,6.14
1738,6.13
1739,6.13
1740,6.12
1741,6.12
1742,6.11
1743,6.11
1744,6.11
1745,6.11
1746,6.11
1747,6.11
1748,6.11
1749,6.11
1750,6.11
1751,6.12
1752,6.12
1753,6.13
1754,6.13
1755,6.13
1756,6.14
1757,6.14
1758,6.14
1759,6.14
1760,6.14
1761,6.14
1762,6.14
1763,6.13
1764,6.14
1765,6.13
1766,6.14
1767,6.13
1768,6.13
1769,6.13
1770,6.13
1771,6.13
1772,6.13
1773,6.13
1774,6.13
1775,6.13
1776,6.13
1777,6.13
1778,6.13
1779,6.13
1780,6.13
1781,6.13
1782,6.14
1783,6.13
1784,6.13
1785,6.13
1786,6.13
1787,6.13
1788,6.13
1789,6.13
1790,6.12
1791,6.12
1792,6.12
1793,6.12
1794,6.12
1795,6.12
1796,6.12
1797,6.12
1798,6.12
1799,6.11
1800,6.11
1801,6.11
1802,6.11
1803,6.11
1804,6.11
1805,6.11
1806,6.11
1807,6.11
1808,6.11
1809,6.11
1810,6.11
1811,6.11
1812,6.11
1813,6.11
1814,6.1
1815,6.1
1816,6.1
1817,6.11
1818,6.11
1819,6.11
1820,6.11
1821,6.12
1822,6.12
1823,6.11
1824,6.12
1825,6.11
1826,6.11
1827,6.1
1828,6.1
1829,6.11
1830,6.11
1831,6.11
1832,6.11
1833,6.11
1834,6.11
1835,6.11
1836,6.1
1837,6.1
1838,6.1
1839,6.1
1840,6.1
1841,6.1
1842,6.1
1843,6.09
1844,6.09
1845,6.09
1846,6.09
1847,6.09
1848,6.09
1849,6.1
1850,6.1
1851,6.1
1852,6.1
1853,6.1
1854,6.1
1855,6.11
1856,6.1
1857,6.1
1858,6.1
1859,6.1
1860,6.09
1861,6.09
1862,6.08
1863,6.08
1864,6.08
1865,6.08
1866,6.08
1867,6.09
1868,6.08
1869,6.08
1870,6.08
1871,6.08
1872,6.08
1873,6.07
1874,6.07
1875,6.07
1876,6.07
1877,6.07
1878,6.06
1879,6.06
1880,6.06
1881,6.07
1882,6.06
1883,6.06
1884,6.06
1885,6.06
1886,6.06
1887,6.05
1888,6.05
1889,6.05
1890,6.05
1891,6.05
1892,6.05
1893,6.05
1894,6.06
1895,6.06
1896,6.06
1897,6.06
1898,6.06
1899,6.07
1900,6.08
1901,6.08
1902,6.09
1903,6.09
1904,6.1
1905,6.11
1906,6.12
1907,6.13
1908,6.13
1909,6.14
1910,6.15
1911,6.17
1912,6.18
1913,6.22
1914,6.23
1915,6.23
1916,6.24
1917,6.25
1918,6.26
1919,6.27
1920,6.28
1921,6.28
1922,6.3
1923,6.3
1924,6.31
1925,6.32
1926,6.33
1927,6.35
1928,6.35
1929,6.36
1930,6.38
1931,6.38
1932,6.38
1933,6.39
1934,6.4
1935,6.41
1936,6.42
1937,6.43
1938,6.45
1939,6.45
1940,6.46
1941,6.47
1942,6.48
1943,6.49
1944,6.49
1945,6.5
1946,6.5
1947,6.5
1948,6.51
1949,6.52
1950,6.52
1951,6.53
1952,6.54
1953,6.55
1954,6.56
1955,6.57
1956,6.58
1957,6.59
1958,6.6
1959,6.61
1960,6.62
1961,6.63
1962,6.65
1963,6.66
1964,6.75
1965,6.76
1966,6.75
1967,6.75
1968,6.75
1969,6.75
1970,6.75
1971,6.76
1972,6.77
1973,6.77
1974,6.77
1975,6.77
1976,6.78
1977,6.78
1978,6.78
1979,6.78
1980,6.79
1981,6.79
1982,6.8
1983,6.83
1984,6.83
1985,6.83
1986,6.83
1987,6.83
1988,6.83
1989,6.84
1990,6.87
1991,6.87
1992,6.87
1993,6.87
1994,6.87
1995,6.87
1996,6.87
1997,6.87
1998,6.87
1999,6.87
2000,6.88
2001,6.89
2002,6.9
2003,6.9
2004,6.94
2005,6.94
2006,6.94
2007,6.94
2008,6.94
2009,6.94
2010,6.94
2011,6.94
2012,6.94
2013,6.94
2014,6.94
2015,6.94
